Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2015-01-02,LIN,129.63999938964844,130.22000122070312,128.85000610351562,129.9499969482422,106.3248519897461,683700.0
2015-01-05,LIN,128.82000732421875,129.05999755859375,126.11000061035156,126.5199966430664,103.51844024658203,1165700.0
2015-01-06,LIN,126.19999694824219,127.0199966430664,124.81999969482422,124.9000015258789,102.19293212890625,1349800.0
2015-01-07,LIN,125.87000274658203,126.6500015258789,125.25,126.30000305175781,103.33844757080078,861300.0
2015-01-08,LIN,127.88999938964844,128.86000061035156,127.2300033569336,128.3800048828125,105.04027557373047,1089700.0
2015-01-09,LIN,128.85000610351562,128.85000610351562,126.5,126.6500015258789,103.62480163574219,989200.0
2015-01-12,LIN,126.7699966430664,127.30999755859375,125.36000061035156,126.37000274658203,103.39571380615234,1026600.0
2015-01-13,LIN,126.9000015258789,127.48999786376953,124.5999984741211,125.5,102.68387603759766,1235000.0
2015-01-14,LIN,123.27999877929688,125.0,123.19999694824219,124.58999633789062,101.9393081665039,1231700.0
2015-01-15,LIN,125.0,126.22000122070312,124.4000015258789,124.47000122070312,101.84114837646484,787600.0
2015-01-16,LIN,124.47000122070312,124.68000030517578,122.5199966430664,123.52999877929688,101.0720443725586,1990600.0
2015-01-20,LIN,123.87000274658203,125.33999633789062,123.66000366210938,124.91000366210938,102.20114135742188,1563400.0
2015-01-21,LIN,124.56999969482422,125.94999694824219,124.08000183105469,125.66999816894531,102.82295227050781,1030200.0
2015-01-22,LIN,126.6500015258789,127.69000244140625,125.66999816894531,127.45999908447266,104.28753662109375,1170600.0
2015-01-23,LIN,127.43000030517578,127.54000091552734,126.29000091552734,126.33999633789062,103.37115478515625,1066700.0
2015-01-26,LIN,123.55000305175781,125.56999969482422,123.55000305175781,124.5199966430664,101.88202667236328,1408300.0
2015-01-27,LIN,122.9000015258789,124.62999725341797,122.5,123.19999694824219,100.802001953125,1831900.0
2015-01-28,LIN,124.19000244140625,127.33000183105469,122.5999984741211,122.62999725341797,100.33563232421875,2334800.0
2015-01-29,LIN,123.02999877929688,123.2300033569336,120.16999816894531,121.44999694824219,99.37014770507812,1981000.0
2015-01-30,LIN,119.91999816894531,122.0199966430664,119.91999816894531,120.58999633789062,98.66654205322266,2048800.0
2015-02-02,LIN,121.08000183105469,122.52999877929688,119.87999725341797,122.22000122070312,100.00019836425781,2307000.0
2015-02-03,LIN,123.55000305175781,123.77999877929688,122.31999969482422,123.4800033569336,101.0311050415039,1520600.0
2015-02-04,LIN,122.62000274658203,123.72000122070312,122.45999908447266,122.70999908447266,100.40109252929688,1394400.0
2015-02-05,LIN,123.63999938964844,124.66000366210938,122.6500015258789,124.61000061035156,101.95568084716797,1330900.0
2015-02-06,LIN,124.1500015258789,125.87999725341797,123.94999694824219,125.25,102.47933197021484,1440900.0
2015-02-09,LIN,125.0,125.69000244140625,124.5999984741211,125.04000091552734,102.3075180053711,1262800.0
2015-02-10,LIN,125.23999786376953,125.55999755859375,124.48999786376953,124.91000366210938,102.20114135742188,1188700.0
2015-02-11,LIN,124.91000366210938,125.05999755859375,123.9000015258789,124.3499984741211,101.74292755126953,1226800.0
2015-02-12,LIN,125.0,125.55000305175781,124.7699966430664,125.36000061035156,102.56932067871094,1289800.0
2015-02-13,LIN,125.5,126.9800033569336,125.33999633789062,126.88999938964844,103.82115173339844,770200.0
2015-02-17,LIN,126.66999816894531,128.0,126.16999816894531,127.44999694824219,104.27936553955078,759500.0
2015-02-18,LIN,127.44000244140625,127.7699966430664,126.51000213623047,127.62999725341797,104.42662811279297,728400.0
2015-02-19,LIN,127.62000274658203,129.24000549316406,126.95999908447266,128.86000061035156,105.43302917480469,1082400.0
2015-02-20,LIN,128.85000610351562,129.5,127.43000030517578,129.30999755859375,105.80120086669922,1075800.0
2015-02-23,LIN,128.9600067138672,129.4499969482422,128.13999938964844,128.38999938964844,105.04846954345703,872400.0
2015-02-24,LIN,128.5800018310547,128.8699951171875,127.9800033569336,128.3800048828125,105.04027557373047,830400.0
2015-02-25,LIN,128.3300018310547,129.0,128.25999450683594,128.58999633789062,105.21211242675781,719500.0
2015-02-26,LIN,128.30999755859375,128.94000244140625,127.66000366210938,127.9000015258789,104.64752960205078,1462500.0
2015-02-27,LIN,127.9800033569336,128.6199951171875,127.7300033569336,127.9000015258789,104.64752960205078,1249000.0
2015-03-02,LIN,127.9000015258789,130.3800048828125,127.61000061035156,130.27999877929688,106.59484100341797,1376400.0
2015-03-03,LIN,129.82000732421875,129.8699951171875,128.9199981689453,129.0500030517578,105.58846282958984,1223800.0
2015-03-04,LIN,128.19000244140625,128.4199981689453,126.56999969482422,127.72000122070312,105.08247375488281,1996900.0
2015-03-05,LIN,127.91999816894531,128.0800018310547,127.0,127.73999786376953,105.09890747070312,2209100.0
2015-03-06,LIN,126.47000122070312,127.05000305175781,126.16000366210938,126.29000091552734,103.90593719482422,1849200.0
2015-03-09,LIN,126.31999969482422,126.80999755859375,125.94000244140625,126.25,103.87305450439453,1934500.0
2015-03-10,LIN,125.19999694824219,125.58999633789062,124.0199966430664,124.36000061035156,102.31800079345703,1703800.0
2015-03-11,LIN,124.36000061035156,125.31999969482422,124.11000061035156,124.22000122070312,102.20283508300781,1429000.0
2015-03-12,LIN,124.6500015258789,125.7300033569336,124.43000030517578,125.62999725341797,103.36290740966797,1544000.0
2015-03-13,LIN,125.30000305175781,125.4000015258789,123.08999633789062,123.80000305175781,101.85726928710938,1332300.0
2015-03-16,LIN,125.54000091552734,125.55000305175781,123.26000213623047,124.23999786376953,102.21930694580078,1437600.0
2015-03-17,LIN,123.9000015258789,123.98999786376953,122.0199966430664,122.81999969482422,101.05095672607422,1374400.0
2015-03-18,LIN,122.1500015258789,125.5,121.37999725341797,124.80999755859375,102.68826293945312,1277800.0
2015-03-19,LIN,123.83999633789062,124.22000122070312,122.0,122.01000213623047,100.38452911376953,1394400.0
2015-03-20,LIN,120.83000183105469,123.18000030517578,119.69000244140625,121.91999816894531,100.31050109863281,3025100.0
2015-03-23,LIN,121.91999816894531,122.4000015258789,121.62999725341797,121.9800033569336,100.35987854003906,1100400.0
2015-03-24,LIN,121.66000366210938,122.8499984741211,121.54000091552734,121.55000305175781,100.00606536865234,1301700.0
2015-03-25,LIN,121.7699966430664,122.16000366210938,120.29000091552734,120.30000305175781,98.97764587402344,1008100.0
2015-03-26,LIN,120.19000244140625,120.87999725341797,120.05999755859375,120.51000213623047,99.15042114257812,1040100.0
2015-03-27,LIN,120.27999877929688,120.94000244140625,120.05000305175781,120.16000366210938,98.86241912841797,1071700.0
2015-03-30,LIN,121.02999877929688,121.94999694824219,120.6500015258789,121.5199966430664,99.98139190673828,846900.0
2015-03-31,LIN,121.22000122070312,121.66999816894531,120.68000030517578,120.73999786376953,99.33966064453125,997500.0
2015-04-01,LIN,120.58000183105469,121.16999816894531,119.75,121.01000213623047,99.56178283691406,1231700.0
2015-04-02,LIN,120.6500015258789,122.55999755859375,120.30999755859375,122.2699966430664,100.59846496582031,1334700.0
